dataset,instancia,tamano,subconjunto,LB,UB,mejor,promedio,desv,MRE_%,RE_mejor_%,iter_prom,tiempo_prom_s
Brandimarte,mk01,10x6,-,40,40,40,41.2,1.03,3.0,0.0,4937.0,7.63
Brandimarte,mk02,10x6,-,26,26,28,29.1,0.57,11.92,7.69,5230.0,23.89
Brandimarte,mk03,15x8,-,204,204,204,204,0.0,0.0,0.0,1511.0,30.01
Brandimarte,mk04,15x8,-,60,60,62,65.2,1.99,8.67,3.33,5566.0,23.81
Brandimarte,mk05,15x4,-,172,172,175,176.7,1.16,2.73,1.74,2094.0,30.01
Brandimarte,mk06,10x15,-,57,57,70,73.1,1.66,28.25,22.81,891.0,30.02
Brandimarte,mk07,20x5,-,139,139,144,146.4,2.12,5.32,3.6,2134.0,30.0
Brandimarte,mk08,20x10,-,523,523,523,523.2,0.63,0.04,0.0,1257.0,30.01
Brandimarte,mk09,20x10,-,307,307,318,325.6,5.66,6.06,3.58,779.0,30.02
Brandimarte,mk10,20x15,-,189,193,266,273.5,5.5,44.71,40.74,393.0,30.04
Dauzere,01a,10x5,-,2505,2505,2686,2750.1,30.25,9.78,7.23,782.0,30.02
Dauzere,04a,10x5,-,2503,2503,2687,2714.4,24.29,8.45,7.35,776.0,30.01
Dauzere,07a,15x8,-,2216,2254,2679,2711.1,26.67,22.34,20.89,584.0,30.03
Dauzere,10a,15x8,-,2212,2241,2652,2689.8,24.81,21.6,19.89,574.0,30.02
Dauzere,13a,20x10,-,2206,2236,2664,2719.7,28.15,23.29,20.76,377.0,30.04
Dauzere,16a,20x10,-,2202,2231,2667,2698,24.49,22.52,21.12,363.0,30.04
Hurink,la01,10x5,edata,609,609,609,612.3,4.67,0.54,0.0,5089.0,5.83
Hurink,la06,15x5,edata,833,833,833,836,5.66,0.36,0.0,5792.0,15.23
Hurink,la11,20x5,edata,1103,1103,1106,1114.5,8.77,1.04,0.27,4820.0,29.55
Hurink,la16,10x10,edata,892,892,917,921.9,5.49,3.35,2.8,5202.0,13.55
Hurink,la21,15x10,edata,1009,1009,1100,1120.1,21.74,11.01,9.02,4679.0,30.0
Hurink,la01,10x5,rdata,570,570,575,578.4,4.01,1.47,0.88,5412.0,12.77
Hurink,la06,15x5,rdata,799,799,800,803.4,2.12,0.55,0.13,4962.0,29.27
Hurink,la11,20x5,rdata,1071,1071,1075,1079.2,3.08,0.77,0.37,2418.0,30.01
Hurink,la16,10x10,rdata,717,717,717,734.6,13.03,2.45,0.0,4624.0,29.9
Hurink,la21,15x10,rdata,809,825,932,966.5,14.8,19.47,15.2,1929.0,30.01
Hurink,la01,10x5,vdata,570,570,572,575.3,2.71,0.93,0.35,5651.0,20.46
Hurink,la06,15x5,vdata,799,799,802,806,2.31,0.88,0.38,3609.0,30.0
Hurink,la11,20x5,vdata,1071,1071,1076,1080,2.62,0.84,0.47,1660.0,30.01
Hurink,la16,10x10,vdata,717,717,717,717,0.0,0.0,0.0,1305,30.01
Hurink,la21,15x10,vdata,800,800,937,959,13.63,19.88,17.12,555.0,30.02
