benchmark,instance,seed,makespan,iterations,time_s,ub,gap_pct
Hurink_edata,la01,100,621,9719,60.01,609,1.97
Hurink_edata,la01,101,621,9533,60.01,609,1.97
Hurink_edata,la01,102,609,9832,60.02,609,0.0
Hurink_edata,la01,103,621,9791,60.01,609,1.97
Hurink_edata,la01,104,609,9264,60.01,609,0.0
Hurink_edata,la06,100,833,5192,60.02,800,4.125
Hurink_edata,la06,101,844,5293,60.02,800,5.5
Hurink_edata,la06,102,833,5254,60.03,800,4.125
Hurink_edata,la06,103,833,5303,60.03,800,4.125
Hurink_edata,la06,104,833,5515,60.02,800,4.125
Hurink_edata,la11,100,1135,3370,60.02,1071,5.976
Hurink_edata,la11,101,1135,3563,60.03,1071,5.976
Hurink_edata,la11,102,1135,3688,60.03,1071,5.976
Hurink_edata,la11,103,1134,3679,60.03,1071,5.882
Hurink_edata,la11,104,1135,3472,60.02,1071,5.976
Hurink_edata,la16,100,918,4370,60.01,717,28.033
Hurink_edata,la16,101,917,4294,60.01,717,27.894
Hurink_edata,la16,102,918,4290,60.03,717,28.033
Hurink_edata,la16,103,918,3940,60.02,717,28.033
Hurink_edata,la16,104,915,4248,60.02,717,27.615
Hurink_edata,la21,100,1122,2501,60.03,835,34.371
Hurink_edata,la21,101,1078,2486,60.03,835,29.102
Hurink_edata,la21,102,1128,2515,60.03,835,35.09
Hurink_edata,la21,103,1139,2476,60.04,835,36.407
Hurink_edata,la21,104,1141,2554,60.02,835,36.647
Hurink_rdata,la01,100,601,9667,60.02,570,5.439
Hurink_rdata,la01,101,628,9077,60.02,570,10.175
Hurink_rdata,la01,102,598,9365,60.02,570,4.912
Hurink_rdata,la01,103,621,9527,60.01,570,8.947
Hurink_rdata,la01,104,616,9316,60.02,570,8.07
Hurink_rdata,la06,100,815,5262,60.02,799,2.003
Hurink_rdata,la06,101,823,5312,60.02,799,3.004
Hurink_rdata,la06,102,812,5274,60.03,799,1.627
Hurink_rdata,la06,103,816,5261,60.04,799,2.128
Hurink_rdata,la06,104,837,5144,60.04,799,4.756
Hurink_rdata,la11,100,1085,3491,60.05,1071,1.307
Hurink_rdata,la11,101,1076,3459,60.03,1071,0.467
Hurink_rdata,la11,102,1121,3499,60.04,1071,4.669
Hurink_rdata,la11,103,1084,3422,60.04,1071,1.214
Hurink_rdata,la11,104,1089,3555,60.03,1071,1.681
Hurink_rdata,la16,100,773,4161,60.03,717,7.81
Hurink_rdata,la16,101,790,4175,60.04,717,10.181
Hurink_rdata,la16,102,810,4192,60.04,717,12.971
Hurink_rdata,la16,103,792,4234,60.05,717,10.46
Hurink_rdata,la16,104,821,4292,60.04,717,14.505
Hurink_rdata,la21,100,1039,2489,60.05,833,24.73
Hurink_rdata,la21,101,992,2533,60.04,833,19.088
Hurink_rdata,la21,102,1014,2476,60.05,833,21.729
Hurink_rdata,la21,103,1023,2518,60.04,833,22.809
Hurink_rdata,la21,104,1032,2458,60.06,833,23.89
Hurink_vdata,la01,100,581,9212,60.02,570,1.93
Hurink_vdata,la01,101,583,9319,60.03,570,2.281
Hurink_vdata,la01,102,584,9286,60.02,570,2.456
Hurink_vdata,la01,103,605,8979,60.02,570,6.14
Hurink_vdata,la01,104,600,9462,60.02,570,5.263
Hurink_vdata,la06,100,812,5118,60.03,799,1.627
Hurink_vdata,la06,101,824,5057,60.02,799,3.129
Hurink_vdata,la06,102,835,5059,60.02,799,4.506
Hurink_vdata,la06,103,836,5137,60.04,799,4.631
Hurink_vdata,la06,104,816,5193,60.04,799,2.128
Hurink_vdata,la11,100,1093,3482,60.08,1071,2.054
Hurink_vdata,la11,101,1090,3520,60.06,1071,1.774
Hurink_vdata,la11,102,1084,3561,60.04,1071,1.214
Hurink_vdata,la11,103,1132,3595,60.04,1071,5.696
Hurink_vdata,la11,104,1079,3557,60.04,1071,0.747
Hurink_vdata,la16,100,763,4275,60.04,717,6.416
Hurink_vdata,la16,101,735,4237,60.03,717,2.51
Hurink_vdata,la16,102,764,4203,60.07,717,6.555
Hurink_vdata,la16,103,772,4250,60.06,717,7.671
Hurink_vdata,la16,104,763,4320,60.07,717,6.416
Hurink_vdata,la21,100,972,2367,60.06,800,21.5
Hurink_vdata,la21,101,1016,2473,60.06,800,27.0
Hurink_vdata,la21,102,956,2424,60.06,800,19.5
Hurink_vdata,la21,103,991,2424,60.06,800,23.875
Hurink_vdata,la21,104,997,2404,60.08,800,24.625
Brandimarte,Mk01,100,42,9260,60.03,42,0.0
Brandimarte,Mk01,101,44,8948,60.02,42,4.762
Brandimarte,Mk01,102,44,9038,60.03,42,4.762
Brandimarte,Mk01,103,42,9029,60.02,42,0.0
Brandimarte,Mk01,104,45,8949,60.01,42,7.143
Brandimarte,Mk02,100,29,8505,60.02,32,-9.375
Brandimarte,Mk02,101,33,8644,60.01,32,3.125
Brandimarte,Mk02,102,30,8307,60.02,32,-6.25
Brandimarte,Mk02,103,29,8601,60.02,32,-9.375
Brandimarte,Mk02,104,31,8435,60.03,32,-3.125
Brandimarte,Mk03,100,204,2442,60.15,211,-3.318
Brandimarte,Mk03,101,204,2497,60.05,211,-3.318
Brandimarte,Mk03,102,204,2485,60.04,211,-3.318
Brandimarte,Mk03,103,211,2424,60.04,211,0.0
Brandimarte,Mk03,104,204,2469,60.06,211,-3.318
Brandimarte,Mk04,100,68,4920,60.03,81,-16.049
Brandimarte,Mk04,101,70,4793,60.03,81,-13.58
Brandimarte,Mk04,102,68,4787,60.05,81,-16.049
Brandimarte,Mk04,103,69,4627,60.05,81,-14.815
Brandimarte,Mk04,104,68,4918,60.03,81,-16.049
Brandimarte,Mk05,100,179,3199,60.04,186,-3.763
Brandimarte,Mk05,101,180,3175,60.03,186,-3.226
Brandimarte,Mk05,102,179,3275,60.05,186,-3.763
Brandimarte,Mk05,103,181,3277,60.03,186,-2.688
Brandimarte,Mk05,104,177,3253,60.03,186,-4.839
Brandimarte,Mk06,100,78,2243,60.07,86,-9.302
Brandimarte,Mk06,101,72,2230,60.08,86,-16.279
Brandimarte,Mk06,102,72,2194,60.09,86,-16.279
Brandimarte,Mk06,103,72,2169,60.05,86,-16.279
Brandimarte,Mk06,104,75,2189,60.05,86,-12.791
Brandimarte,Mk07,100,151,3540,60.03,157,-3.822
Brandimarte,Mk07,101,156,3578,60.04,157,-0.637
Brandimarte,Mk07,102,151,3544,60.08,157,-3.822
Brandimarte,Mk07,103,150,3691,60.04,157,-4.459
Brandimarte,Mk07,104,151,3834,60.06,157,-3.822
Brandimarte,Mk08,100,523,1278,60.11,523,0.0
Brandimarte,Mk08,101,525,1275,60.11,523,0.382
Brandimarte,Mk08,102,524,1236,60.08,523,0.191
Brandimarte,Mk08,103,523,1238,60.05,523,0.0
Brandimarte,Mk08,104,523,1253,60.05,523,0.0
Brandimarte,Mk09,100,333,1139,60.1,369,-9.756
Brandimarte,Mk09,101,337,1209,60.1,369,-8.672
Brandimarte,Mk09,102,367,1257,60.1,369,-0.542
Brandimarte,Mk09,103,353,1165,60.11,369,-4.336
Brandimarte,Mk09,104,357,1194,60.14,369,-3.252
Brandimarte,Mk10,100,250,1261,60.16,296,-15.541
Brandimarte,Mk10,101,247,1279,60.15,296,-16.554
Brandimarte,Mk10,102,259,1225,60.09,296,-12.5
Brandimarte,Mk10,103,261,1242,60.1,296,-11.824
