benchmark,instance,UB,best,mean,std,worst,gap_best_%,gap_mean_%,mean_iterations,mean_time_s
Hurink_edata,la01,609,609,616.2,6.57,621,0.0,1.18,9627.8,60.01
Hurink_edata,la06,800,833,835.2,4.92,844,4.12,4.4,5311.4,60.02
Hurink_edata,la11,1071,1134,1134.8,0.45,1135,5.88,5.96,3554.4,60.03
Hurink_edata,la16,717,915,917.2,1.3,918,27.61,27.92,4228.4,60.02
Hurink_edata,la21,835,1078,1121.6,25.6,1141,29.1,34.32,2506.4,60.03
Hurink_rdata,la01,570,598,612.8,12.91,628,4.91,7.51,9390.4,60.02
Hurink_rdata,la06,799,812,820.6,10.01,837,1.63,2.7,5250.6,60.03
Hurink_rdata,la11,1071,1076,1091,17.42,1121,0.47,1.87,3485.2,60.04
Hurink_rdata,la16,717,773,797.2,18.67,821,7.81,11.19,4210.8,60.04
Hurink_rdata,la21,833,992,1020,18.26,1039,19.09,22.45,2494.8,60.05
Hurink_vdata,la01,570,581,590.6,11.06,605,1.93,3.61,9251.6,60.02
Hurink_vdata,la06,799,812,824.6,10.85,836,1.63,3.2,5112.8,60.03
Hurink_vdata,la11,1071,1079,1095.6,21.05,1132,0.75,2.3,3543,60.05
Hurink_vdata,la16,717,735,759.4,14.15,772,2.51,5.91,4257,60.05
Hurink_vdata,la21,800,956,986.4,23.14,1016,19.5,23.3,2418.4,60.06
Brandimarte,Mk01,42,42,43.4,1.34,45,0.0,3.33,9044.8,60.02
Brandimarte,Mk02,32,29,30.4,1.67,33,-9.38,-5.0,8498.4,60.02
Brandimarte,Mk03,211,204,205.4,3.13,211,-3.32,-2.65,2463.4,60.07
Brandimarte,Mk04,81,68,68.6,0.89,70,-16.05,-15.31,4809,60.04
Brandimarte,Mk05,186,177,179.2,1.48,181,-4.84,-3.66,3235.8,60.04
Brandimarte,Mk06,86,72,73.8,2.68,78,-16.28,-14.19,2205,60.07
Brandimarte,Mk07,157,150,151.8,2.39,156,-4.46,-3.31,3637.4,60.05
Brandimarte,Mk08,523,523,523.6,0.89,525,0.0,0.12,1256,60.08
Brandimarte,Mk09,369,333,349.4,14.17,367,-9.76,-5.31,1192.8,60.11
Brandimarte,Mk10,296,247,254,5.92,261,-16.55,-14.19,1254.4,60.16
Dauzere,01a,2530,2675,2728.8,42.12,2784,5.73,7.86,1301.4,60.23
Dauzere,04a,2565,2655,2672.4,10.99,2685,3.51,4.19,1318,60.06
Dauzere,07a,2408,2665,2715.4,34.96,2750,10.67,12.77,815.2,60.09
Dauzere,10a,2362,2554,2663,82.11,2762,8.13,12.74,819,60.11
Dauzere,13a,2302,2714,2776.8,62.21,2880,17.9,20.63,558.6,60.18
Dauzere,16a,2301,2665,2788.4,86.25,2878,15.82,21.18,560.8,60.39
